customer_id,last_purchase,frequency,monetary,margin,discount,points_earned,points_redeemed,promo_share,category_breadth,recency_days,avg_basket,margin_rate,redemption_rate,incentive_responsiveness,R_score,F_score,M_score,value_score,opportunity_score,segment,strategy,age_band,region,app_user
100000,2025-12-09,49,1299.4,392.53000000000003,65.85,1274,185,0.20408163265306123,10,22,26.518367346938778,0.30208557795905805,0.14521193092621665,0.41093350347782076,2,4,4,3.6303784302744218,2.1041622477742927,High Value / Low Opportunity,Retain Efficiently,55-64,South,False
100001,2025-11-22,21,659.85,138.82,19.62,650,93,0.047619047619047616,9,39,31.42142857142857,0.21038114723043114,0.14307692307692307,0.1751506016401093,2,2,3,1.8760460836866948,1.1505493705315935,Low Value / Low Opportunity,Automate / Low-cost,35-44,North,False
100002,2025-12-07,31,607.82,194.16,42.14,590,98,0.3225806451612903,10,24,19.60709677419355,0.3194366753315126,0.16610169491525423,0.30033504990285176,2,3,3,2.901668133450676,2.0998427893955856,High Value / Low Opportunity,Retain Efficiently,55-64,East,False
100003,2025-12-30,57,1882.56,601.09,138.8,1856,256,0.3333333333333333,10,1,33.02736842105263,0.3192939401665817,0.13793103448275862,0.43777201985906067,5,5,5,4.4206536522921835,3.1821328163446196,High Value / High Opportunity,Protect & Grow,45-54,Zagreb,True
100004,2025-12-26,122,4082.87,1115.21,338.36,4021,643,0.3114754098360656,10,5,33.466147540983606,0.2731436465035625,0.15991047003233028,0.41184791997481507,5,5,5,4.2761620929674375,3.076384798101587,High Value / High Opportunity,Protect & Grow,25-34,East,False
100005,2025-11-13,24,428.92,138.68,35.01,416,21,0.3333333333333333,10,48,17.871666666666666,0.32332369672666234,0.05048076923076923,0.4387703428920958,1,2,2,2.189099127930234,2.1843790431689487,Low Value / Low Opportunity,Automate / Low-cost,65+,North,False
100006,2025-12-29,34,638.73,138.88,51.24,621,88,0.29411764705882354,10,2,18.786176470588234,0.2174314655644795,0.14170692431561996,0.5581839552085042,5,3,3,2.3985678854308343,3.3688954377422164,Low Value / High Opportunity,Develop,55-64,East,False
100007,2025-12-27,20,395.78,163.54,15.35,386,37,0.15,7,4,19.788999999999998,0.4132093587346506,0.09585492227979274,0.2649605917631209,5,2,2,2.436478918313465,1.9900528427879278,Low Value / Low Opportunity,Automate / Low-cost,55-64,Zagreb,False
100008,2025-10-12,22,483.18,113.69,27.85,471,63,0.22727272727272727,10,80,21.962727272727275,0.23529533507181588,0.1337579617834395,0.23995842548371907,1,2,2,1.6109528762300984,1.5110891519539373,Low Value / Low Opportunity,Automate / Low-cost,25-34,West,True
100009,2025-11-24,21,350.18,115.66,54.489999999999995,338,44,0.6666666666666666,8,37,16.675238095238097,0.33028728082700326,0.1301775147928994,0.6363142751507231,2,2,1,1.8190975278022241,2.812150054523962,Low Value / High Opportunity,Develop,35-44,Zagreb,False
