transaction_id,line_id,category,quantity,net_sales,margin
18,18-L1,Oral Care,1,17.69,5.38
18,18-L2,Body Care,1,3.47,1.06
29,29-L1,Body Care,1,6.94,2.11
29,29-L2,Household,1,21.48,6.54
28,28-L1,Personal Care,1,12.38,3.75
28,28-L2,Oral Care,1,16.77,5.09
5,5-L1,Make-up,1,14.46,4.31
5,5-L2,Hair Care,1,5.12,1.52
9,9-L1,Oral Care,1,22.29,6.82
37,37-L1,Baby,1,8.88,2.71
37,37-L2,Skincare,1,19.02,5.8
50,50-L1,Make-up,1,28.06,5.92
60,60-L1,Oral Care,1,29.86,6.35
51,51-L1,Make-up,1,15.11,3.19
51,51-L2,Oral Care,1,13.51,2.85
69,69-L1,Skincare,1,8.39,1.78
69,69-L2,Household,1,19.89,4.22
52,52-L1,Hair Care,1,33.99,7.11
59,59-L1,Baby,1,39.16,8.2
99,99-L1,Baby,1,19.28,6.24
91,91-L1,Body Care,1,21.52,6.97
98,98-L1,Baby,1,12.75,4.1
98,98-L2,Hair Care,1,14.32,4.61
75,75-L1,Baby,1,12.32,3.99
75,75-L2,Personal Care,1,9.41,3.04
85,85-L1,Household,1,16.88,5.46
86,86-L1,Make-up,1,24.5,7.93
109,109-L1,Hair Care,1,35.09,11.35
140,140-L1,Oral Care,1,29.17,9.49
125,125-L1,Household,1,13.72,4.44
125,125-L2,Skincare,1,10.06,3.26
125,125-L3,Oral Care,1,5.49,1.78
136,136-L1,Personal Care,1,4.0,1.29
136,136-L2,Hair Care,1,20.77,6.69
150,150-L1,Household,1,9.38,3.05
150,150-L2,Baby,1,20.35,6.61
123,123-L1,Make-up,1,33.41,10.78
176,176-L1,Hair Care,1,30.73,8.54
227,227-L1,Skincare,1,24.98,6.62
239,239-L1,Oral Care,1,39.02,10.82
270,270-L1,Skincare,1,16.05,4.47
270,270-L2,Oral Care,1,4.45,1.24
270,270-L3,Household,1,11.37,3.16
164,164-L1,Household,1,33.37,9.05
205,205-L1,Body Care,1,11.31,3.12
205,205-L2,Oral Care,1,17.78,4.9
292,292-L1,Make-up,1,13.77,4.53
294,294-L1,Personal Care,1,1.94,0.64
294,294-L2,Make-up,1,13.24,4.34
302,302-L1,Skincare,1,11.13,3.64
302,302-L2,Household,1,8.42,2.76
281,281-L1,Personal Care,1,14.72,4.83
290,290-L1,Baby,1,4.41,1.46
290,290-L2,Household,1,10.41,3.44
290,290-L3,Personal Care,1,3.57,1.18
287,287-L1,Personal Care,1,24.12,7.9
332,332-L1,Hair Care,1,11.82,2.47
332,332-L2,Household,1,3.35,0.7
313,313-L1,Personal Care,1,6.03,1.33
313,313-L2,Baby,1,8.97,1.97
309,309-L1,Personal Care,1,17.95,3.67
337,337-L1,Baby,1,23.33,5.11
335,335-L1,Household,1,15.86,3.53
310,310-L1,Body Care,1,9.47,2.12
310,310-L2,Baby,1,12.7,2.84
348,348-L1,Hair Care,1,18.35,7.64
355,355-L1,Oral Care,1,17.11,7.11
350,350-L1,Hair Care,1,19.89,8.2
352,352-L1,Make-up,1,15.92,6.52
341,341-L1,Household,1,7.23,3.0
341,341-L2,Make-up,1,22.96,9.53
339,339-L1,Personal Care,1,9.99,4.13
339,339-L2,Oral Care,1,7.62,3.15
375,375-L1,Baby,1,20.0,4.79
363,363-L1,Make-up,1,27.3,6.44
364,364-L1,Household,1,3.84,0.91
364,364-L2,Baby,1,13.44,3.17
376,376-L1,Baby,1,30.46,7.19
362,362-L1,Body Care,1,18.6,4.42
372,372-L1,Hair Care,1,27.53,6.59
392,392-L1,Body Care,1,16.07,5.36
389,389-L1,Make-up,1,19.09,6.14
401,401-L1,Oral Care,1,23.48,7.43
385,385-L1,Hair Care,1,18.66,6.33
395,395-L1,Personal Care,1,15.97,5.19
398,398-L1,Body Care,1,19.66,6.71
485,485-L1,Personal Care,1,15.75,5.67
485,485-L2,Make-up,1,22.89,8.24
423,423-L1,Personal Care,1,24.45,8.83
535,535-L1,Make-up,1,15.97,5.79
535,535-L2,Oral Care,1,10.91,3.96
415,415-L1,Oral Care,1,31.29,11.26
519,519-L1,Make-up,1,34.23,12.32
422,422-L1,Skincare,1,25.38,9.14
561,561-L1,Household,1,36.62,8.08
548,548-L1,Skincare,1,43.21,9.42
545,545-L1,Baby,1,23.24,4.75
552,552-L1,Skincare,1,29.04,6.38
568,568-L1,Body Care,1,33.99,6.92
555,555-L1,Make-up,1,31.62,6.43
643,643-L1,Oral Care,1,22.12,7.31
620,620-L1,Household,1,25.02,8.26
590,590-L1,Hair Care,1,19.57,6.49
633,633-L1,Hair Care,1,18.63,6.17
635,635-L1,Personal Care,1,14.2,4.72
635,635-L2,Oral Care,1,5.78,1.92
595,595-L1,Body Care,1,20.67,6.82
661,661-L1,Make-up,1,18.61,6.22
